{'text': 'foreign', 'start': 1.02, 'duration': 2.959}
{'text': 'one up there on the board', 'start': 6.0, 'duration': 3.62}
{'text': 'I want to thank you all of you for', 'start': 11.4, 'duration': 3.96}
{'text': 'joining today', 'start': 13.679, 'duration': 3.781}
{'text': 'I just got back from an overseas trip', 'start': 15.36, 'duration': 5.64}
{'text': 'where I spoke in Egypt at the cop 27.', 'start': 17.46, 'duration': 5.22}
{'text': 'the United Nations climate conference', 'start': 21.0, 'duration': 2.82}
{'text': 'and then', 'start': 22.68, 'duration': 3.3}
{'text': 'to the leaders of the asean countries in', 'start': 23.82, 'duration': 3.42}
{'text': 'Cambodia', 'start': 25.98, 'duration': 3.299}
{'text': 'we also met with the indo-pacific Allies', 'start': 27.24, 'duration': 4.199}
{'text': 'including a trilateral meeting with', 'start': 29.279, 'duration': 4.981}
{'text': 'Japan and the Republican Korea and with', 'start': 31.439, 'duration': 5.821}
{'text': 'President XI and Bali as well as the', 'start': 34.26, 'duration': 5.22}
{'text': 'leaders of the G20 and the countries uh', 'start': 37.26, 'duration': 4.26}
{'text': 'with many of the largest economies in', 'start': 39.48, 'duration': 3.12}
{'text': 'the world', 'start': 41.52, 'duration': 3.18}
{'text': 'it was clear to me and I think to most', 'start': 42.6, 'duration': 3.84}
{'text': 'people in those meetings that the United', 'start': 44.7, 'duration': 3.72}
{'text': "States is as well they're better", 'start': 46.44, 'duration': 4.32}
{'text': 'position than any nation in the world to', 'start': 48.42, 'duration': 4.38}
{'text': 'lead the world on the economy in the', 'start': 50.76, 'duration': 3.24}
{'text': 'years ahead', 'start': 52.8, 'duration': 3.419}
{'text': "and there's a strong sense from all the", 'start': 54.0, 'duration': 4.14}
{'text': 'leaders of the world of the strength of', 'start': 56.219, 'duration': 4.5}
{'text': "the American economy and we've seen the", 'start': 58.14, 'duration': 4.2}
{'text': 'willingness to want to work together and', 'start': 60.719, 'duration': 3.241}
{'text': 'also here at home', 'start': 62.34, 'duration': 3.599}
{'text': 'we had an extraordinary two years of', 'start': 63.96, 'duration': 3.72}
{'text': 'progress from the American Rescue plan', 'start': 65.939, 'duration': 4.281}
{'text': 'the bipartisan infrastructure law', 'start': 67.68, 'duration': 5.1}
{'text': 'inflation reduction Act and the chipson', 'start': 70.22, 'duration': 5.2}
{'text': "science act but what I'm most excited", 'start': 72.78, 'duration': 5.159}
{'text': 'about is that people are starting to see', 'start': 75.42, 'duration': 4.32}
{'text': 'the impact of these legislative', 'start': 77.939, 'duration': 3.841}
{'text': "achievements in their own lives we're", 'start': 79.74, 'duration': 4.44}
{'text': 'just getting started we passed them this', 'start': 81.78, 'duration': 4.26}
{'text': "year but now they're really going to", 'start': 84.18, 'duration': 3.299}
{'text': "kick into effect it's going to", 'start': 86.04, 'duration': 4.5}
{'text': 'accelerate in the months ahead and the', 'start': 87.479, 'duration': 4.441}
{'text': 'implementation of these legislative', 'start': 90.54, 'duration': 3.0}
{'text': 'achievements are going to be one of the', 'start': 91.92, 'duration': 4.26}
{'text': 'key parts of the success I believe for', 'start': 93.54, 'duration': 5.1}
{'text': "the economy and that's one of the", 'start': 96.18, 'duration': 3.78}
{'text': 'reasons why I wanted to bring us', 'start': 98.64, 'duration': 4.26}
{'text': "together today you know I've called", 'start': 99.96, 'duration': 4.92}
{'text': 'together a group of Labor leaders and', 'start': 102.9, 'duration': 4.44}
{'text': 'Business Leaders to discuss progress in', 'start': 104.88, 'duration': 4.739}
{'text': 'building the economy from the bottom up', 'start': 107.34, 'duration': 5.04}
{'text': "in the middle out and we're in when and", 'start': 109.619, 'duration': 4.981}
{'text': 'there have been Partners in creating the', 'start': 112.38, 'duration': 4.559}
{'text': 'jobs of the future and in building a', 'start': 114.6, 'duration': 4.44}
{'text': 'world-class workplace ready to compete', 'start': 116.939, 'duration': 4.021}
{'text': 'to fill those jobs', 'start': 119.04, 'duration': 3.96}
